Location;Institute;Year of publication;Study;Scenario;Year of H2 demand;Value;Unit;Abbreviation;Rererence;Notes
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T49;T45-Strom;2045;1108;TWh (H2);F-ISI-S;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a13;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T50;T45-RedGas;2025;10;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a14;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T51;T45-RedGas;2030;160;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a15;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T52;T45-RedGas;2035;409;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a16;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T53;T45-RedGas;2040;832;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a17;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T54;T45-RedGas;2045;1203;TWh (H2);F-ISI-RG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a18;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T55;T45-RedEff;2025;8;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a19;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T56;T45-RedEff;2030;108;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a20;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T57;T45-RedEff;2035;304;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a21;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T58;T45-RedEff;2040;889;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a22;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T59;T45-RedEff;2045;1345;TWh (H2);F-ISI-RE;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a23;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T60;T45-PtG;2025;9;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a24;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T61;T45-PtG;2030;101;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a25;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T62;T45-PtG;2035;218;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a26;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T63;T45-PtG;2040;373;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a27;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T64;T45-PtG;2045;423;TWh (H2);F-ISI-PtG;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a28;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T65;T45-H2;2025;48;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a29;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T66;T45-H2;2030;259;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a30;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T67;T45-H2;2035;730;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a31;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T68;T45-H2;2040;1572;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a32;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T69;T45-H2;2045;2780;TWh (H2);F-ISI-H2;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a33;
Europe;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2020;0;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Europe;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2030;422,9;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Europe;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2040;1069,9;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Europe;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2045;1723,6;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Europe;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2050;2377,3;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Europe;Guidehouse;2021;EUROPEAN HYDROGEN BACKBONE;;2050;2300;TWh (H2);Guidehouse-European H2 Backbone;https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021_v3.pdf;
Europe;EU EC JRC;2020;Towards net-zero emissions in the EU energy system by 2050;LCEO Net Zero;2050;3102;TWh (H2);EU EC JRC-LCEO Net Zero;"Quelle: https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021_v3.pdf; Urquelle: https://op.europa.eu/en/publication-detail/-/publication/94aab140-8378-11ea-bf12-01aa75ed71a1/language-en";
Europe;FCH JU;2019;Hydrogen Roadmap Europe;Ambitious;2050;2607;TWh (H2);FCH JU-Roadmap-Ambitious;"Quelle: https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021_v3.pdf; Urquelle: https://op.europa.eu/en/publication-detail/-/publication/0817d60d-332f-11e9-8d04-01aa75ed71a1/language-en";
Europe;EU EC;2020;Impact Assesssment SWD;Mix;2050;2178;TWh (H2);EU EC-Impact Assessment-Mix;"Quelle: https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021_v3.pdf; Urquelle: https://ec.europa.eu/transparency/documents-register/detail?ref=SWD(2020)176&lang=en";
